Income,Car_Ownership,Current_House_Years,Generation,Prof_business management,Prof_design,Prof_engineering,Prof_finance,Prof_government public service,Prof_healthcare,Prof_miscellaneous,Prof_science research,Prof_technology,State_north_zone,State_south_zone,State_west_zone,City_rural,City_suburban,City_urban,Experience_Age_Ratio,Risk_Flag
9236505,0,14,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5277777777777778,0
1065465,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6521739130434783,0
1797876,0,14,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2631578947368421,0
6063428,0,13,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.15789473684210525,0
9643150,0,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.5416666666666666,0
8832725,0,11,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.078125,1
4386333,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.5161290322580645,0
3939397,1,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.36538461538461536,0
6944134,0,11,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0847457627118644,0
4128828,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.47619047619047616,0
5023035,1,13,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.38461538461538464,0
9086933,0,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.12727272727272726,0
7537675,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08888888888888889,0
9625415,0,10,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.19480519480519481,0
7904011,0,11,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.04225352112676056,0
3540135,0,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.05128205128205128,0
8739032,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.05454545454545454,0
3217258,1,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5217391304347826,0
2735428,0,14,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.2777777777777778,0
9760667,0,12,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.2698412698412698,1
8390825,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.36666666666666664,0
9639445,0,10,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.2,1
6868118,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.64,1
2471915,0,13,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2465753424657534,0
8477026,0,10,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.19230769230769232,0
8996641,0,13,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.16,0
4043791,1,14,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.375,0
4260004,0,13,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.18518518518518517,0
3634814,0,11,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05405405405405406,0
9518593,0,13,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.08450704225352113,0
5990870,0,10,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.05405405405405406,0
1213131,0,11,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.11940298507462686,0
1885923,0,14,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.34782608695652173,1
5554586,0,13,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.46153846153846156,1
6555332,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.35714285714285715,0
9861298,0,11,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2711864406779661,1
9311486,0,12,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1323529411764706,0
9440590,0,13,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.16176470588235295,0
8773158,1,13,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3103448275862069,1
9724250,1,13,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.2537313432835821,0
1729774,1,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.21428571428571427,0
6178223,1,13,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.41304347826086957,0
9822116,0,13,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.4444444444444444,0
4334000,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1111111111111111,0
9576258,1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.22784810126582278,0
8788135,0,11,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.09090909090909091,0
7002610,0,12,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.07142857142857142,0
5605985,0,11,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.21052631578947367,0
3208322,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.32727272727272727,0
2408148,0,11,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1694915254237288,0
9585696,1,12,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.30952380952380953,0
2116007,1,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.20833333333333334,1
3798306,1,14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.2619047619047619,0
2966907,1,12,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.2,0
4994848,0,13,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.15517241379310345,0
326455,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7407407407407407,0
6227811,0,12,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.23333333333333334,0
7839236,0,14,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.10294117647058823,1
6115704,0,14,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2982456140350877,1
7433875,1,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.375,1
6245331,0,12,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.09230769230769231,0
4700701,1,12,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.2916666666666667,0
5898669,0,13,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.28125,0
4329713,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.21428571428571427,0
4047079,1,14,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.14285714285714285,0
9784947,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4583333333333333,0
6097344,1,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.5925925925925926,0
826681,1,14,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.05128205128205128,0
137594,1,10,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.19230769230769232,1
575463,1,13,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.2,0
8005608,0,12,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.12307692307692308,1
7527288,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4166666666666667,0
7021605,0,10,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.45161290322580644,0
3449511,1,14,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.38,0
3472864,1,13,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.2564102564102564,0
5083653,1,11,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.4,0
6275695,0,11,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.15151515151515152,1
4336059,1,13,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2222222222222222,0
4976661,0,12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.4090909090909091,0
4417164,0,14,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.2857142857142857,0
9334042,1,11,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.19230769230769232,0
535157,0,10,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.04,0
4126991,0,12,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.045454545454545456,0
5165629,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1
1240330,1,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6206896551724138,0
862841,0,14,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09090909090909091,0
6501716,0,13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.13513513513513514,0
1197375,1,11,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0
7430695,0,10,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.13559322033898305,0
4726819,0,13,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.07462686567164178,0
1319541,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1388888888888889,0
1281960,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0
5522159,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2727272727272727,1
4428363,0,10,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.2391304347826087,1
4759451,0,13,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.06666666666666667,0
7154493,0,13,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.14285714285714285,1
245844,0,11,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.05970149253731343,0
8769550,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5652173913043478,1
8312895,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.34285714285714286,0
4432483,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08695652173913043,0
9867887,0,12,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.11392405063291139,0
444242,0,12,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.14285714285714285,0
8288147,0,13,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.625,0
3159260,0,10,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.06451612903225806,0
8753042,0,12,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.16216216216216217,0
46750,1,11,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3939393939393939,1
1855377,0,13,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.11538461538461539,0
7187813,0,13,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0425531914893617,1
5644262,0,11,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.11666666666666667,1
4171960,0,10,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.2191780821917808,0
9397962,0,14,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.05172413793103448,0
3643187,0,14,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.2597402597402597,0
2015341,0,13,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1276595744680851,0
7465121,1,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.05405405405405406,0
3606323,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0
2966871,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08974358974358974,0
8496659,0,12,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.2033898305084746,0
7889777,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.42857142857142855,0
3345583,0,14,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0625,0
4392927,0,13,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.04878048780487805,1
4995211,0,11,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.1323529411764706,0
3970273,0,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.2641509433962264,0
2570688,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1956521739130435,0
2506726,0,14,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.2037037037037037,0
9657655,0,12,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.0,0
4269729,1,13,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.11428571428571428,0
799233,1,14,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.05555555555555555,0
8791091,0,14,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.45454545454545453,0
1122270,0,12,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1527777777777778,0
3775604,0,11,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.2391304347826087,1
8195887,0,13,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.20253164556962025,1
4392149,0,13,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.1864406779661017,0
4991059,0,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.28205128205128205,0
1013313,0,12,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.5,0
1800877,1,13,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.47619047619047616,0
2217063,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.08823529411764706,0
1134496,0,10,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03896103896103896,1
7462623,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2826086956521739,0
6045182,0,12,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.07692307692307693,0
6847133,0,10,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.10144927536231885,0
5403886,0,10,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.4827586206896552,0
1856689,1,12,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.10869565217391304,1
4998898,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.48148148148148145,0
3367218,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.17857142857142858,0
4195266,0,14,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.5,0
8451099,1,13,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.05714285714285714,1
624985,0,11,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.23404255319148937,1
3207222,1,10,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.10714285714285714,0
4341286,0,13,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.013333333333333334,0
233888,0,10,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.015625,1
2942291,0,11,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.22,0
6044767,1,13,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2,0
6694786,0,11,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2463768115942029,1
470555,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0
8949796,1,12,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0
412015,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.34782608695652173,0
9352887,1,11,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.11320754716981132,1
9226716,0,11,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.05454545454545454,0
9364159,0,11,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.07792207792207792,0
9934516,1,14,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09090909090909091,0
884898,1,10,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.16666666666666666,0
5681211,0,10,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.22784810126582278,0
1185014,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.21739130434782608,0
9603186,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.11627906976744186,1
3489049,0,12,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.16666666666666666,1
5653642,0,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.07142857142857142,1
9899664,0,10,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.1111111111111111,0
6862187,0,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.3181818181818182,1
979926,1,11,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.22950819672131148,1
424671,1,11,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.234375,0
347930,0,12,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.078125,0
8645202,0,13,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.13846153846153847,0
2028733,1,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.10526315789473684,0
7977722,0,12,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.2753623188405797,0
6816106,1,14,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.6451612903225806,0
4853948,0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.2564102564102564,0
227394,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.21428571428571427,0
5330432,1,10,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0425531914893617,0
9830639,0,11,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.22857142857142856,0
4184636,1,10,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.03636363636363636,0
2667227,0,14,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.07894736842105263,0
4736350,0,13,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.34210526315789475,1
5886958,0,10,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.26666666666666666,0
9845816,0,11,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.6451612903225806,0
7512179,0,14,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.23636363636363636,0
2603179,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5128205128205128,0
9317473,1,14,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.31746031746031744,0
5616245,1,13,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.2631578947368421,0
4110754,0,13,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.1111111111111111,0
6305461,1,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2682926829268293,1
7552268,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.15789473684210525,1
4334503,0,14,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.2727272727272727,0
1328487,0,10,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1791044776119403,0
152426,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.6666666666666666,0
7992060,0,11,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3409090909090909,0
7357515,1,14,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.26,0
7115862,0,11,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.3269230769230769,0
1532701,0,12,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.02531645569620253,0
4421612,0,11,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.25316455696202533,0
9521305,0,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11688311688311688,0
2433481,1,14,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0
6668221,0,11,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.30303030303030304,1
5109740,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.15384615384615385,1
3902265,0,14,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.19230769230769232,0
8602683,0,10,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.021739130434782608,0
7636933,1,14,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.09090909090909091,0
665309,0,11,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.15942028985507245,0
9812058,1,14,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.013888888888888888,0
9999180,0,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0
1126863,0,11,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.023255813953488372,0
8774556,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.031746031746031744,0
1882143,1,14,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.4222222222222222,1
7167762,0,14,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.2857142857142857,1
7743419,0,14,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.2112676056338028,1
3562528,0,11,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.15517241379310345,0
5323322,0,10,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.16883116883116883,0
5596467,0,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.6538461538461539,0
9305585,0,10,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.11594202898550725,1
4539480,1,11,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.06521739130434782,0
9480069,0,10,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.03125,0
9772105,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.41379310344827586,0
9507533,0,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.125,0
2218280,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2647058823529412,0
2252443,0,11,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,0
4525338,0,12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.043478260869565216,0
9984878,1,12,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.35294117647058826,0
2285062,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.05263157894736842,0
6715263,0,11,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1
2959223,0,12,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.046511627906976744,0
2370396,0,10,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.057971014492753624,0
3426695,0,14,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0547945205479452,0
1923950,0,14,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.24,0
2416807,0,12,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.14285714285714285,0
10310,1,14,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2857142857142857,0
2436026,1,10,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.08,0
5046084,1,14,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.11290322580645161,0
6415225,0,13,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.24074074074074073,0
1632386,0,14,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.46511627906976744,1
6220011,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0
461499,0,11,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.029411764705882353,0
7579274,0,14,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.3076923076923077,0
7291839,1,12,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.024390243902439025,1
7583437,1,13,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.17567567567567569,0
9933885,0,11,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.18461538461538463,0
4187964,1,10,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.02564102564102564,1
5498131,0,13,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.2459016393442623,0
3308198,1,14,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.13157894736842105,0
2452563,0,12,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04,0
7877007,0,10,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.1836734693877551,0
7525294,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.2558139534883721,0
